week,team_id,team_name,opponent_id,opponent_name,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM/A,FTM/A
3,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.11,Ryan's Team,0.451,0.695,55,636,261,144,44,32,78,245/543,91/131
3,402.l.42709.t.11,Ryan's Team,402.l.42709.t.5,Ay-ton of drugs,0.435,0.782,74,709,299,181,39,23,89,260/598,115/147
3,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.10,ahmad's Team,0.451,0.837,53,457,133,107,28,17,49,161/357,82/98
3,402.l.42709.t.10,ahmad's Team,402.l.42709.t.6,Check Da Statistacss,0.453,0.806,48,491,178,154,47,21,63,178/393,87/108
3,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,0.473,0.796,73,724,230,153,37,25,74,265/560,121/152
3,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.7,Mount Zion💪🏾,0.511,0.754,53,603,181,134,28,35,65,226/442,98/130
3,402.l.42709.t.8,JR Dreamers,402.l.42709.t.12,Herro Ball,0.5,0.664,70,609,257,152,33,41,93,226/452,87/131
3,402.l.42709.t.12,Herro Ball,402.l.42709.t.8,JR Dreamers,0.472,0.785,57,632,248,141,27,15,100,229/485,117/149
4,402.l.42709.t.1,The Stephfather,402.l.42709.t.5,Ay-ton of drugs,0.484,0.831,47,519,189,95,32,20,57,199/411,74/89
4,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.1,The Stephfather,0.448,0.649,66,533,228,153,38,26,84,202/451,63/97
4,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.4,Keldon's Johnson,0.464,0.821,62,653,218,133,28,20,72,236/509,119/145
4,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.2,Josh's Unreal Team,0.48,0.822,69,642,241,146,47,18,68,245/510,83/101
4,402.l.42709.t.3,World B. Flat,402.l.42709.t.12,Herro Ball,0.436,0.853,55,434,177,101,27,22,54,149/342,81/95
4,402.l.42709.t.12,Herro Ball,402.l.42709.t.3,World B. Flat,0.497,0.737,42,459,173,109,25,23,61,165/332,87/118
4,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.11,Ryan's Team,0.476,0.763,55,482,147,90,25,22,44,178/374,71/93
4,402.l.42709.t.11,Ryan's Team,402.l.42709.t.6,Check Da Statistacss,0.441,0.791,51,485,163,136,43,13,72,181/410,72/91
4,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.10,ahmad's Team,0.44,0.72,44,449,159,138,32,22,72,173/393,59/82
4,402.l.42709.t.10,ahmad's Team,402.l.42709.t.7,Mount Zion💪🏾,0.509,0.775,28,315,141,90,18,16,39,116/228,55/71
4,402.l.42709.t.8,JR Dreamers,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,0.5,0.615,54,434,233,96,24,31,46,162/324,56/91
4,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.8,JR Dreamers,0.504,0.813,43,480,182,104,24,45,45,175/347,87/107
5,402.l.42709.t.1,The Stephfather,402.l.42709.t.6,Check Da Statistacss,0.479,0.741,81,735,207,127,33,23,63,264/551,126/170
5,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.1,The Stephfather,0.452,0.764,79,573,174,94,29,20,64,213/471,68/89
5,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.5,Ay-ton of drugs,0.51,0.841,57,594,217,121,27,28,70,213/418,111/132
5,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.2,Josh's Unreal Team,0.491,0.751,36,674,280,142,32,26,93,251/511,136/181
5,402.l.42709.t.3,World B. Flat,402.l.42709.t.4,Keldon's Johnson,0.487,0.838,64,601,176,141,35,21,82,222/456,93/111
5,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.3,World B. Flat,0.468,0.864,65,669,276,150,33,9,63,245/523,114/132
5,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.11,Ryan's Team,0.451,0.781,52,564,234,158,39,29,85,197/437,118/151
5,402.l.42709.t.11,Ryan's Team,402.l.42709.t.7,Mount Zion💪🏾,0.438,0.872,74,629,221,151,39,18,80,230/525,95/109
5,402.l.42709.t.8,JR Dreamers,402.l.42709.t.10,ahmad's Team,0.471,0.777,47,505,219,101,35,24,62,189/401,80/103
5,402.l.42709.t.10,ahmad's Team,402.l.42709.t.8,JR Dreamers,0.449,0.754,36,342,141,120,26,10,50,127/283,52/69
5,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.12,Herro Ball,0.5,0.743,71,688,268,133,36,39,81,258/516,101/136
5,402.l.42709.t.12,Herro Ball,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,0.495,0.838,59,555,173,109,38,20,69,191/386,114/136
6,402.l.42709.t.1,The Stephfather,402.l.42709.t.7,Mount Zion💪🏾,0.471,0.821,83,658,180,118,29,23,72,228/484,119/145
6,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.1,The Stephfather,0.44,0.684,71,658,228,180,39,26,98,235/534,117/171
6,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.6,Check Da Statistacss,0.482,0.806,74,702,250,169,31,27,94,258/535,112/139
6,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.2,Josh's Unreal Team,0.463,0.772,72,529,204,78,31,14,58,193/417,71/92
6,402.l.42709.t.3,World B. Flat,402.l.42709.t.5,Ay-ton of drugs,0.432,0.794,70,559,185,153,33,20,60,202/468,85/107
6,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.3,World B. Flat,0.521,0.693,67,765,295,159,43,29,105,288/553,122/176
6,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.12,Herro Ball,0.483,0.877,92,701,256,121,42,15,77,251/520,107/122
6,402.l.42709.t.12,Herro Ball,402.l.42709.t.4,Keldon's Johnson,0.455,0.883,68,597,196,96,30,25,65,208/457,113/128
6,402.l.42709.t.8,JR Dreamers,402.l.42709.t.11,Ryan's Team,0.484,0.776,54,606,256,134,38,25,70,224/463,104/134
6,402.l.42709.t.11,Ryan's Team,402.l.42709.t.8,JR Dreamers,0.473,0.877,104,701,223,163,32,26,66,245/518,107/122
6,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.10,ahmad's Team,0.528,0.78,53,571,180,90,28,31,50,204/386,110/141
6,402.l.42709.t.10,ahmad's Team,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,0.444,0.813,52,497,144,143,37,18,64,168/378,109/134
7,402.l.42709.t.1,The Stephfather,402.l.42709.t.8,JR Dreamers,0.489,0.832,79,770,215,149,34,27,90,286/585,119/143
7,402.l.42709.t.8,JR Dreamers,402.l.42709.t.1,The Stephfather,0.488,0.736,77,644,255,139,31,33,79,225/461,117/159
7,402.l.42709.t.2,Josh's Unreal Team,402.l.42709.t.7,Mount Zion💪🏾,0.47,0.807,81,762,266,150,38,35,79,284/604,113/140
7,402.l.42709.t.7,Mount Zion💪🏾,402.l.42709.t.2,Josh's Unreal Team,0.495,0.811,78,773,258,188,47,33,72,279/564,137/169
7,402.l.42709.t.3,World B. Flat,402.l.42709.t.6,Check Da Statistacss,0.507,0.716,68,580,199,130,48,18,76,227/448,58/81
7,402.l.42709.t.6,Check Da Statistacss,402.l.42709.t.3,World B. Flat,0.473,0.83,90,765,250,137,41,21,78,269/569,137/165
7,402.l.42709.t.4,Keldon's Johnson,402.l.42709.t.5,Ay-ton of drugs,0.46,0.823,105,713,227,133,40,16,68,253/550,102/124
7,402.l.42709.t.5,Ay-ton of drugs,402.l.42709.t.4,Keldon's Johnson,0.472,0.779,49,697,291,160,29,24,90,266/563,116/149
7,402.l.42709.t.9,THANKS 4 DAFREEBANDZ,402.l.42709.t.11,Ryan's Team,0.479,0.781,40,560,193,125,35,38,54,210/438,100/128
