player_id,stat_type,name,percent_owned,status,ownership,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,IMPACT_FG,IMPACT_FT
5958,season_2019,Deandre Ayton,100,,Ay-ton of drugs,310/568,67/89,38,1235,568,310,0.546,89,67,0.753,13,3,0.231,690,147,289,436,72,26,58,80,117,51.08687499999994,9.716485887096754
5959,season_2019,Marvin Bagley III,79,,THANKS 4 DAFREEBANDZ,78/167,25/31,13,333,167,78,0.467,31,25,0.806,22,4,0.182,185,29,68,97,10,6,12,18,43,6.692116935483855,4.950554435483864
6014,season_2019,Luka Doncic,100,,JR Dreamers,581/1255,426/562,61,2047,1255,581,0.463,562,426,0.758,541,171,0.316,1759,78,495,573,538,62,14,260,153,47.52369153225794,63.90944758064503
6015,season_2019,Jaren Jackson Jr.,81,INJ,World B. Flat,353/753,139/186,57,1625,753,353,0.469,186,139,0.747,368,145,0.394,990,55,207,262,78,40,92,99,232,30.992118951612813,19.324082661290277
6016,season_2019,Trae Young,100,,Herro Ball,546/1249,481/559,60,2119,1249,546,0.437,559,481,0.86,568,205,0.361,1778,32,223,255,560,65,8,289,104,30.46481854838697,121.22266733870951
6018,season_2019,Wendell Carter Jr.,78,,Herro Ball,183/343,112/152,43,1255,343,183,0.534,152,112,0.737,29,6,0.207,484,139,266,405,51,33,36,72,162,27.961735887096737,14.450483870967705
6019,season_2019,Collin Sexton,92,,Ay-ton of drugs,513/1086,226/267,65,2139,1086,513,0.472,267,226,0.846,255,97,0.38,1349,61,143,204,192,65,7,158,142,46.578538306451485,53.79301209677411
6021,season_2019,Mikal Bridges,85,,Josh's Unreal Team,247/484,103/122,73,2042,484,247,0.51,122,103,0.844,194,70,0.361,667,66,226,292,129,102,46,73,163,31.812703629032203,24.310284274193513
6022,season_2019,Shai Gilgeous-Alexander,99,,ahmad's Team,478/1015,288/357,70,2431,1015,478,0.471,357,288,0.807,251,87,0.347,1331,47,365,412,232,79,47,134,117,42.92266532258052,57.31838709677412
6023,season_2019,Miles Bridges,52,,Herro Ball,319/753,106/131,65,1995,753,319,0.424,131,106,0.809,300,99,0.33,843,88,274,362,114,40,48,95,132,13.6520423387096,21.308350806451585
6025,season_2019,Michael Porter Jr.,93,,Check Da Statistacss,195/383,60/72,55,902,383,195,0.509,72,60,0.833,147,62,0.422,512,66,193,259,46,27,25,49,100,24.920292338709633,13.50133064516127
6028,season_2019,Donte DiVincenzo,65,,ahmad's Team,232/510,63/86,66,1522,510,232,0.455,86,63,0.733,247,83,0.336,610,66,252,318,154,85,20,90,113,17.120758064516078,7.876397177419334
6030,season_2019,Kevin Huerter,62,,Ryan's Team,252/610,53/64,56,1763,610,252,0.413,64,53,0.828,334,127,0.38,684,35,193,228,213,51,27,87,139,8.012685483870904,11.661175403225787
6038,season_2019,Robert Williams,45,,The Stephfather,64/88,22/34,29,389,88,64,0.727,34,22,0.647,0,0,0.0,150,40,88,128,27,22,35,21,51,22.130967741935468,0.8584879032257999
6044,season_2019,Jalen Brunson,34,,Keldon's Johnson,181/388,61/75,57,1017,388,181,0.466,75,61,0.813,120,43,0.358,466,22,112,134,188,22,4,66,74,15.348143145161252,12.506352822580622
6045,season_2019,Devonte' Graham,70,INJ,Mount Zion💪🏾,368/963,191/233,63,2209,963,368,0.382,233,191,0.82,585,218,0.373,1145,42,170,212,471,62,15,181,115,0.29306451612894957,40.4962358870967
